15%	lima belas persen
100%	seratus persen
1000%	seribu persen 
80	delapan puluh
2024	dua ribu dua puluh empat 
2024	dua ribu dua empat
44374	dua puluh tujuh juni
 Awokwokwokwok	haha
 dach	dah
@	di
_kepada	kepada
_klompok	kelompok
10jt	sepuluh juta
10k	sepuluh ribu
10kk	sepuluh juta
10rb	sepuluh ribu
10th	sepuluh tahun
120k	seratus dua puluh ribu
13rb	tiga belas ribu
145k	seratus empat puluh lima ribu
149rb	seratus empat puluh sembilan ribu
14rb	empat belas ribu
15jt	lima belas juta
16gb	enam belas giga byte
16jam	enam belas jam
16th	enam belas tahun
17an	tujuh belasan
1jt	satu juta
1kg	satu kilogram
1periode	satu periode
1st	pertama
1t	satu triliun
200an	dua ratusan
200rbu	dua ratus ribu
2018gantigubernur	2018 ganti gubernur
2019asalbukanjokowi	2019 asal bukan jokowi
2019forjkw	2019 for jokowi
2019g	2019 ganti presiden
2019ga	2019 ganti presiden
2019ganti	2019 ganti presiden
2019gantikacung	2019 ganti kacung
2019gantip	2019 ganti presiden
2019gantipesinden	2019 ganti presiden
2019gantipre	2019 ganti presiden
2019gantipres	2019 ganti presiden
2019gantipresid	2019 ganti presiden
2019gantipreside	2019 ganti presiden
2019gantipresiden	2019 ganti presiden
2019gantipresidenbaru	2019 ganti presiden baru
2019gantipresidenkacung	2019 ganti presiden kacung
2019gantirezim	2019 ganti rezim
2019gantisistem	2019 ganti sistem
2019gantitelor	2019 ganti telor
2019jokowiend	2019 jokowi selesai
2019jokowilagi	2019 jokowi lagi
2019jokowilanjutkan	2019 jokowi lanjutkan
2019kitatetapjokowi	2019 kita tetap jokowi
2019lanjutjokowi	2019 lanjut jokowi
2019pilihjokowi	2019 pilih jokowi
2019prabowoanismatta	2019 prabowo anis matta
2019prabowopresiden	2019 prabowo presiden
2019prabowopresident08	2019 prabowo presiden
2019prabowori1	2019 prabowo satu
2019presidenbaru	2019 presiden baru
2019t3tapjokowi	2019 tetap jokowi
2019tenggelamkanjokowikesungaisiak	2019 tenggelamkan jokowi ke sungai siak
2019tetapjokow	2019 tetap jokowi
2019tetapjokowi	2019 tetap jokowi
2019tetapjokowiganti	2019 tetap jokowi ganti
2019tetapjokowiyangdiganti	2019 tetap jokowi yang diganti
20menit	dua puluh menit
20rb	dua puluh ribu
20tahun	dua puluh tahun
20tahunpks	20 tahun pks
22nya	dua duanya
24rb	dua puluh empat ribu
250juta	dua ratus lima puluh juta
260jt	dua ratus enam puluh juta
27m	dua puluh tujuh meter
298m	dua ratus sembilan puluh delapan meter
2jtnya	dua jutanya
2oeharto	soeharto
2periode	dua periode
2periode	dua periode
2th	dua tahun
2thn	dua tahun
2untukjabar	dua untuk jawa barat
2untukjatim	dua untuk jawa timur
2x	dua kali
2x	dua kali
300an	tiga ratusan
300T	tiga ratus triliun
30an	tiga puluhan
30m	tiga puluh meter
30rb	tiga puluh ribu
30s	tiga puluh detik
35ribu	tiga puluh lima ribu
35t	tiga puluh lima triliun
3jari	tiga jari
3lauk10ribu	tiga lauk sepuluh ribu
3prode	tiga periode
3some	threesome
3tahun	tiga tahun
3x	tiga kali
400km	empat ratus kilometer
400t	empat ratus triliun
40an	empat puluhan
48g	empat puluh gram
48km	empat puluh delapan kilometer
4bdurrahman	abdurrahman
4d	empat dimensi
4jam	empat jam
4minute	empat menit
4tahun	empat tahun
4x	empat kali
500an	lima ratusan
50rb	lima puluh ribu
515ukm4w4t1	si sukmawati
53thgolkar	lima puluh tiga tahun golkar
5in1	five in one
5katauntukhariini	lima kata untuk hari ini
5oekarno	soekarno
5th	lima tahun
5th	ke 5
5x	lima kali
65kg	enam puluh lima kilogram
6ambang	bambang
6line	enam garis
6t	enam triliun
75jt	tujuh puluh lima juta
7an	tujuan
7oko	toko
7tahum	7 tahun
7th	tujuh tahun
80an	delapan puluhan
80kg	delapan puluh kilogram
8an	delapanan
8angsat	bangsat
93tahun	sembilan puluh tiga tahun
97miliar	sembilan puluh tujuh miliar
9tahun	sembilan tahun
9th	sembilan tahun
ā maroko	maroko
½ramayana	ramayana
aa	kakak
aaaaaaakkk	ah
aaaaahhhh	ah
Aaaaamiiiiin	amin
aaaammmiiiinnnn	amin
aaahh	ah
aaamin	amin
aabal	abal
aadren	adren
aaghr	ah
aagym	abdullah gymnastiar
aah	ah
aahh	ah
aak	aku
aakan	akan
aakuu	aku
aalah	adalah
aama	sama
aamien	amin
aamiiin	amin
aamiin	amin
Aamiin	amin
aamiinin	amin
aamiinn	amin
aamiinnn	amin
aamiinnn	amin
aamiinnnn	amin
aamin	amin
aaminn	amin
aammiin	amin
aanjing	anjing
aannccoouurr	hancur
aannccoouurrr	hancur
aarman	arman
aaron	aron
aarrgghh	ah
aarze	arze
ab	anies baswedan
ab	anies baswedan
AB	anies baswedan
ab	anies baswedan
ab	anies baswedan
ab	anies baswedan
ababil	anak baru gede labil
abadiny	abadi
abah	ayah
abal	abal
abal	abal
abal2	abal abal
abam	ayah
abanggg	abang
abanggku	abangku
abaq	abaqus
abas	anies baswedan
abau	abai
abd	abdi
abdul halim iskandar	Abdul Halim Iskandar
abeees	habis
abes	habis
abez	habis
abg	anak baru gede
abg	anak baru gede
abgbugil	abg bugil
abgku	abang
abgmesum	abg mesum
abgnya	abangnya
abgnyaah	abangnya
abiez	habis
abiezz	sangat
abiis	abis
abis	habis
abis2	habis habis
abisan	habisnya
abisin	habiskan
abisnya	habisnya
abiss	habis
abisss	habis
abiz	habis
abizz	habis
abizzz	habis
abizzzz	habis
aboe	Aboe
about	tentang
above	diatas
abritase	arbitrase
abs	habis
absolut	sangat
abu kuta krueng	Abu Kuta Krueng
abu2	abu abu
abubakar	abu bakar
abuse of power	penyalahgunaan kekuasaan
abw	Anies Baswedan
abyar	ambyar
academy	akademi
acakadut	berantakan
acaraā bakal	acaranya bakal
acau	kacau
acc	akun
acces	akses
access	akses
accny	persetujuannya
accord	sesuai
according	menurut
account	akun
accounting	akutansi
acct	akun
accumny	kejelekan
aceh	Aceh
acehkita	aceh kita
acehselatansatu	aceh selatan satu
aces	akses
achh	ah
achok	ahok
acik	asyik
acis	uang
acquirer	akuisisi
acquirer	akuisisi
acquisition	akuisisi
acra	acara
act	aksi
act	aksi
acting	akting
action	aksi
Actioooonn	tindakan
activity	aktifitas
actual	sebenarnya
actually	sebenarnya
acut	akut
ad	ada
ad	ada
ad	ada
ada2	ada ada
adaa	ada
adabx	adabnya
adadikompas	ada di kompas
adafildankamibegadang	ada fil dan kamil begadang
adah	adalah
adain	adakan
adala	adalah
adalahh	adalah
adalahh	adalah
adalh	adalah
adalnya	asalnya
adaloh	ada lo
adanua	adanya
adaperasaan	ada perasaan
adapin	menghadapi
adatgorontalo	adat gorontalo
adatnye	adatnya
adatuh	ada itu
add	menambahkan
addmath	add math
ade	adek
adeeek	adek
adek	adik
adek	adik
adek	adik
adek	adik
adek2	adek adek
adekku	adikku
adeknya	adiknya
adekx	adiknya
ademdihati	adem di hati
ademm	adem
adengan	adegan
adenya	adiknya
adeuh	aduh
adeuhh	aduh
adh	aduh
adih	aduh
adiik	adik
adik2	adik adik
adilan	keadilan
adjustments	Penyesuaian
adkah	adakah
adl	adalah
adl	adalah
adl	adalah
adlah	adalah
adlh	adalah
adlhh	adalah
adminnya	admin
ado	ada
adoh	aduh
adohh	aduh
adolexcent	remaja
adrem	adem di hati
adren	adrenal
ads	iklan
adsan	iklan
adua	aduan
aduchh	aduh
adudomba	adu domba
aduhai	aduh
aduhh	aduh
aduhhh	aduh
aduhhhhhhhhh	aduh
adukung	dukung
aduuh	aduh
aduuhh	aduh
aduuhhh	aduh
aduuuh	aduh
advertisement	iklan
advice	nasihat
advice	nasihat
advis	nasihat
advise	saran
adyem	adem
adzab	azab
adzan	azan
adzan	azan
adzanin	azankan
adzannya	azan
adzim	azim
ae	saja
ae	saja
aee	saja
aelaah	alah
aelah	alah
aelien1stmensive	alien first mensive
aer	air
afaik	as far as i know
afdol	afdal
affairs	urusan
affairs	urusan
affairs	urusan
affiliated	afiliasi
affu19indosiar	aff under 19 indosiar
afgentina	argentina
after happened	setelah yang terjadi
afternya	setelahnya
again	lagi
against	melawan
agalanya	segalanya
agam	agama
agam	agama
agama2	agama agama
agamaā	agamanya
agamaataualqur	agama alquran
agamany	agamanya
agamax	agamanya
agan2	agan agan
age	usia
aggaran	anggaran
aghh	ah
agiah	ah
agk	agak
agkya	agaknya
agkya3	agaknya
agm	agama
agma	agama
agnostic	agnostik
agung2in	agung agungkan
agunh	agung
agustus	Agustus
agusyudhoyono	Agus Yudhoyono
aha	tertawa
ahaha	haha
ahahah	haha
ahahaha	haha
ahahahaha	haha
ahahahahaaayyyy	haha
ahahahahaha	haha
ahahahanjirrr	anjir
ahehehehe	hehe
ahelah	alah
aheruntukindonesia	aher untuk indonesia
aheryawan	ahmad heryawan
ahh	ah
ahhā	aha
ahhahahha	haha
ahhh	ah
ahhhh	ah
ahiok	ahok
ahir	akhir
ahirnya	akhirnya
ahk	ahok
ahklak	akhlak
ahlamdulillah	alhamdulillah
ahli2	para ahli
ahlikul	akhlak
ahlu	ah lu
ahlunnar	ahlun nar
ahlussunah	ahlusunah
ahlussunnah	ahlusunah
ahlusunnah	ahlus sunah
ahmaddani	ahmad dhani
aho	ahok
ahoak	ahok
ahoax	ahok
ahoaxx	ahok
ahog	ahok
ahogers	ahoker
ahokataudjarot	ahok djarot
ahokbebanijokowi	ahok beban jokowi
ahokbtp	ahok basuki tjahaja purnama
ahokditolakwarga	ahok ditolak warga
ahokdjarot	ahok djarot
